BOM_Flatburn_V6-05_11_2025,,,,,,,,,,,,,,
Item,Manufacturer,Manufacturer Part Number,ERP_MPN,Designator,Qty,Description,Package / Case,"SMD ,BGA,LLC(QFN),OR  TH",Top/Bottom,X-Ray,Polarity,NotesComments,CustomerComments,MaterialStatus
1,AVX Corporation,KAM05FR71H104KH,C210-KAM05FR71H104KH,"C35, C66, C49, C19, C129, C117, C51, C136, C55, C135, C81, C52, C4, C151, C147, C118, C156, C141, C133, C82, C50, C126, C34, C101, C149, C94, C160, C102, C172, C124, C142, C33, C148, C154, C111, C44, C158, C95, C131, C1, C3, C153, C71, C159, C152, C112, C155, C174, C83, C145, C113, C93, C125, C60, C27, C150, C138, C104, C143, C140, C123, C40, C167, C79, C84, C110, C157, C162, C128, C130, C134, C120, C122, C168, C99",75,"0.1uF,10%,50V,X7R,0402",0402,SMD,T,,,,,
2,Murata,GRM188R61E106KA73D,C275-GRM188R61E106KA73D,"C53, C64, C76, C57, C65, C29, C68, C23, C28, C30, C22, C31, C54, C77, C32",15,"10uF,25V,10%,X5R,0603",0603,SMD,T,,,,,
3,Stackpole Electronics,RMCF0402FT2K20,C347-RMCF0402FT2K20,"R160, R198",2,"2.2K,1%,1/16W,0402",0402,SMD,T,,,,,
4,Diodes Incorporated,DMN63D8L-7,C228-DMN63D8L-7,"Q14, Q15, Q16, Q13, Q18, Q12",6,"N-CH,30V,350mA,SOT-23",SOT-23,SMD,T,,,,,
5,Murata,BLM21PG221SN1D,C275-BLM21PG221SN1D,"L2, L1, L7",3,"220R,2A,0805",0805,SMD,T,,,,,
6,KEMET,C0603C273J3RACAUTO,C255-C0603C273J3RACAUTO,C70,1,"0.027uF,±5%,25V,X7R,0603",0603,SMD,T,,,,,
7,Stackpole Electronics,RMCF0603FT10R0,C347-RMCF0603FT10R0,"R44, R51, R49, R52, R45, R50",6,"10R,1%,1/10W,0603",0603,SMD,T,,,,,
8,Vishay,SMF10A-E3-08,C326-SMF10A-E3-08,"TVS2, TVS20",2,"10V,200W,DO-219AB（SMF）",DO-219AB (SMF),SMD,T,,Yes,,,
9,Yageo,RC0402FR-07100KL,C333-RC0402FR-07100KL,"R121, R210, R157, R122, R185, R158, R175, R188, R222, R85, R161, R242, R240, R170, R212, R119, R241, R223, R104, R176, R181, R156, R159, R60, R110, R224, R194, R123, R84, R120, R190, R221, R61, R103, R150, R111, R239, R83, R214, R162, R152, R86, R106, R126, R78, R220, R163, R109, R22, R155",50,"100K,1%,1/16W,0402",0402,SMD,T,,,,,
10,Taiyo Yuden,LMK107BBJ106KALT,C316-LMK107BBJ106KALT,"C11, C89, C105, C119, C90, C146, C91, C92, C103, C8, C100",11,"10uF,10V,10%,X5R,0603",0603,SMD,T,,,,,
11,Vishay,MCS04020Z0000ZE000,C326-MCS04020Z0000ZE000,"R117, R76, R177, R179, R116, R74, R149, R207, R208, R167, R209, R146, R128, R171, R147, R148, R165, R166",18,"0R,1/10W,0402",0402,SMD,T,,,,,
12,Murata,GRM21BR61H106KE43L,C275-GRM21BR61H106KE43L,J,5,"10uF,50V,10%,X5R,0805",0805,SMD,T,,,,,
